Task,Model,Accuracy,Precision,Recall,F1,ROC_AUC
Classification,Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
Classification,Decision Tree,0.8146067415730337,0.8181818181818182,0.6617647058823529,0.7317073170731707,0.8613636363636363
Classification,Random Forest,0.8202247191011236,0.78125,0.7352941176470589,0.7575757575757576,0.8179144385026736
